wc_year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,top_scorer,goal_number
2019,1,USA,7.0,7.0,0.0,0.0,26.0,3.0,23.0,21.0,2,6
2019,2,Netherlands,7.0,6.0,0.0,1.0,11.0,5.0,6.0,18.0,1,3
2019,3,Sweden,7.0,5.0,0.0,2.0,12.0,6.0,6.0,15.0,1,3
2019,4,England,7.0,5.0,0.0,2.0,13.0,5.0,8.0,15.0,1,6
2019,QF,Germany,5.0,4.0,0.0,1.0,10.0,2.0,8.0,12.0,1,3
2019,QF,France,5.0,4.0,0.0,1.0,10.0,4.0,6.0,12.0,1,4
2019,QF,Italy,5.0,3.0,0.0,2.0,9.0,4.0,5.0,9.0,2,3
2019,QF,Norway,5.0,2.0,1.0,2.0,7.0,7.0,0.0,7.0,1,2
2019,R16,Australia,4.0,2.0,1.0,1.0,9.0,6.0,3.0,7.0,1,5
2019,R16,Brazil,4.0,2.0,0.0,2.0,7.0,5.0,2.0,6.0,1,4
2019,R16,Canada,4.0,2.0,0.0,2.0,4.0,3.0,1.0,6.0,2,1
2019,R16,Spain,4.0,1.0,1.0,2.0,4.0,4.0,0.0,4.0,1,3
2019,R16,Japan,4.0,1.0,1.0,2.0,3.0,5.0,-2.0,4.0,2,1
2019,R16,China PR,4.0,1.0,1.0,2.0,1.0,3.0,-2.0,4.0,1,1
2019,R16,Cameroon,4.0,1.0,0.0,3.0,3.0,8.0,-5.0,3.0,1,2
2019,R16,Nigeria,4.0,1.0,0.0,3.0,2.0,7.0,-5.0,3.0,1,1
2019,GR,Chile,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,1,1
2019,GR,Argentina,3.0,0.0,2.0,1.0,3.0,4.0,-1.0,2.0,2,1
2019,GR,Scotland,3.0,0.0,1.0,2.0,5.0,7.0,-2.0,1.0,2,1
2019,GR,New Zealand,3.0,0.0,0.0,3.0,1.0,5.0,-4.0,0.0,0,0
2019,GR,Korea Rep,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,1,1
2019,GR,South Africa,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,1,1
2019,GR,Jamaica,3.0,0.0,0.0,3.0,1.0,12.0,-11.0,0.0,1,1
2019,GR,Thailand,3.0,0.0,0.0,3.0,1.0,20.0,-19.0,0.0,1,1
