wc_year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,top_scorer,goal_number
2003,1,Germany,6.0,6.0,0.0,0.0,25.0,4.0,21.0,18.0,1,7
2003,2,Sweden,6.0,4.0,0.0,2.0,10.0,7.0,3.0,12.0,2,3
2003,3,USA,6.0,5.0,0.0,1.0,15.0,5.0,10.0,15.0,1,3
2003,4,Canada,6.0,3.0,1.0,3.0,10.0,10.0,0.0,10.0,2,3
2003,QF,Brazil,4.0,2.0,1.0,1.0,9.0,4.0,5.0,7.0,1,4
2003,QF,China PR,4.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,1,2
2003,QF,Norway,4.0,2.0,0.0,2.0,10.0,6.0,4.0,6.0,1,3
2003,QF,Russia,4.0,2.0,0.0,2.0,6.0,9.0,-3.0,6.0,2,1
2003,GR,France,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,4.0,1,2
2003,GR,Japan,3.0,1.0,0.0,2.0,7.0,6.0,1.0,3.0,2,3
2003,GR,Korea DPR,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,1,2
2003,GR,Australia,3.0,1.0,0.0,2.0,2.0,5.0,-3.0,3.0,1,2
2003,GR,Ghana,3.0,0.0,1.0,2.0,3.0,5.0,-2.0,1.0,1,2
2003,GR,Korea Rep,3.0,0.0,0.0,3.0,1.0,11.0,-10.0,0.0,1,1
2003,GR,Nigeria,3.0,0.0,0.0,3.0,0.0,11.0,-11.0,0.0,0,0
2003,GR,Argentina,3.0,0.0,0.0,3.0,1.0,15.0,-14.0,0.0,1,1
