wc_year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,top_scorer,goal_number
2015,1,USA,7.0,6.0,1.0,0.0,14.0,3.0,11.0,19.0,1,6
2015,2,Japan,7.0,6.0,0.0,1.0,11.0,8.0,3.0,18.0,2,2
2015,3,England,7.0,5.0,0.0,2.0,10.0,7.0,3.0,15.0,1,3
2015,4,Germany,7.0,3.0,2.0,2.0,20.0,6.0,14.0,11.0,1,6
2015,QF,France,5.0,3.0,1.0,1.0,10.0,3.0,7.0,10.0,2,3
2015,QF,Canada,5.0,2.0,2.0,1.0,4.0,3.0,1.0,8.0,1,2
2015,QF,Australia,5.0,2.0,1.0,2.0,5.0,5.0,0.0,7.0,1,3
2015,QF,China PR,5.0,2.0,1.0,2.0,4.0,4.0,0.0,7.0,2,2
2015,R16,Brazil,4.0,3.0,0.0,1.0,4.0,1.0,3.0,9.0,2,1
2015,R16,Norway,4.0,2.0,1.0,1.0,9.0,4.0,5.0,7.0,1,3
2015,R16,Cameroon,4.0,2.0,0.0,2.0,9.0,4.0,5.0,6.0,1,3
2015,R16,Colombia,4.0,1.0,1.0,2.0,4.0,5.0,-1.0,4.0,2,1
2015,R16,Netherlands,4.0,1.0,1.0,2.0,3.0,4.0,-1.0,4.0,1,2
2015,R16,Korea Rep,4.0,1.0,1.0,2.0,4.0,8.0,-4.0,4.0,2,1
2015,R16,Switzerland,4.0,1.0,0.0,3.0,11.0,5.0,6.0,3.0,2,3
2015,R16,Sweden,4.0,0.0,3.0,1.0,5.0,8.0,-3.0,3.0,1,2
2015,GR,Thailand,3.0,1.0,0.0,2.0,3.0,10.0,-7.0,3.0,1,2
2015,GR,Costa Rica,3.0,0.0,2.0,1.0,3.0,4.0,-1.0,2.0,2,1
2015,GR,New Zealand,3.0,0.0,2.0,1.0,2.0,3.0,-1.0,2.0,2,1
2015,GR,Spain,3.0,0.0,1.0,2.0,2.0,4.0,-2.0,1.0,2,1
2015,GR,Nigeria,3.0,0.0,1.0,2.0,3.0,6.0,-3.0,1.0,2,1
2015,GR,Mexico,3.0,0.0,1.0,2.0,2.0,8.0,-6.0,1.0,2,1
2015,GR,Côte d'Ivoire,3.0,0.0,0.0,3.0,3.0,16.0,-13.0,0.0,1,2
2015,GR,Ecuador,3.0,0.0,0.0,3.0,1.0,17.0,-16.0,0.0,1,1
