Round,Date,Home,Away,score_home,score_away,pen_home,pen_away,result,pen_result,home_rank,away_rank
Group stage,2011-06-26,Nigeria,France,0,1,0,0,A,0,27,7
Group stage,2011-06-26,Germany,Canada,2,1,0,0,H,0,2,8
Group stage,2011-06-27,Japan,New Zealand,2,1,0,0,H,0,4,24
Group stage,2011-06-27,Mexico,England,1,1,0,0,D,0,22,6
Group stage,2011-06-28,Colombia,Sweden,0,1,0,0,A,0,29,5
Group stage,2011-06-28,USA,Korea DPR,2,0,0,0,H,0,1,12
Group stage,2011-06-29,Norway,Equ. Guinea,1,0,0,0,H,0,10,56
Group stage,2011-06-29,Brazil,Australia,1,0,0,0,H,0,3,9
Group stage,2011-06-30,Canada,France,0,4,0,0,A,0,8,7
Group stage,2011-06-30,Germany,Nigeria,1,0,0,0,H,0,2,27
Group stage,2011-07-01,Japan,Mexico,4,0,0,0,H,0,4,22
Group stage,2011-07-01,New Zealand,England,1,2,0,0,A,0,24,6
Group stage,2011-07-02,Korea DPR,Sweden,0,1,0,0,A,0,12,5
Group stage,2011-07-02,USA,Colombia,3,0,0,0,H,0,1,29
Group stage,2011-07-03,Australia,Equ. Guinea,3,2,0,0,H,0,9,56
Group stage,2011-07-03,Brazil,Norway,3,0,0,0,H,0,3,10
Group stage,2011-07-05,England,Japan,2,0,0,0,H,0,6,4
Group stage,2011-07-05,New Zealand,Mexico,2,2,0,0,D,0,24,22
Group stage,2011-07-05,France,Germany,2,4,0,0,A,0,7,2
Group stage,2011-07-05,Canada,Nigeria,0,1,0,0,A,0,8,27
Group stage,2011-07-06,Australia,Norway,2,1,0,0,H,0,9,10
Group stage,2011-07-06,Equ. Guinea,Brazil,0,3,0,0,A,0,56,3
Group stage,2011-07-06,Korea DPR,Colombia,0,0,0,0,D,0,12,29
Group stage,2011-07-06,Sweden,USA,2,1,0,0,H,0,5,1
Quarter-finals,2011-07-09,England,France,1,1,3,4,D,A,6,7
Quarter-finals,2011-07-09,Germany,Japan,0,1,0,0,A,0,2,4
Quarter-finals,2011-07-10,Sweden,Australia,3,1,0,0,H,0,5,9
Quarter-finals,2011-07-10,Brazil,USA,2,2,3,5,D,A,3,1
Semi-finals,2011-07-13,France,USA,1,3,0,0,A,0,7,1
Semi-finals,2011-07-13,Japan,Sweden,3,1,0,0,H,0,4,5
Third-place match,2011-07-16,Sweden,France,2,1,0,0,H,0,5,7
Final,2011-07-17,Japan,USA,2,2,3,1,D,H,4,1
